FWER,type,rho,cutoff
0.02706,Algo1 w2 prime,0.53,0.003991114111104291
0.02582,Algo2 w1,0.53,0.003784206882624246
0.02704,Algo2 w2,0.53,0.003985073999676225
0.02707,Algo2 w2 prime,0.53,0.003991942592569118
0.02117,Algo1 w1,0.54,0.003125
0.02622,Algo1 w2,0.54,0.003988583239313226
0.02652,Algo1 w2 prime,0.54,0.004020842367758274
0.02526,Algo2 w1,0.54,0.003801605566671966
0.02646,Algo2 w2,0.54,0.004014333237325304
0.02652,Algo2 w2 prime,0.54,0.004021721104712002
0.02118,Algo1 w1,0.55,0.003125
0.0268,Algo1 w2,0.55,0.004017800702406757
0.02703,Algo1 w2 prime,0.55,0.004051730072917029
0.02545,Algo2 w1,0.55,0.003819410300976312
0.02699,Algo2 w2,0.55,0.004044715464104731
0.02703,Algo2 w2 prime,0.55,0.004052661960646704
0.02148,Algo1 w1,0.56,0.003125
0.02716,Algo1 w2,0.56,0.004048150546195458
0.02746,Algo1 w2 prime,0.56,0.004083841213005611
0.02587,Algo2 w1,0.56,0.0038376329477968767
0.02741,Algo2 w2,0.56,0.004076281630518778
0.02747,Algo2 w2 prime,0.56,0.004084829322041563
0.02077,Algo1 w1,0.5700000000000001,0.003125
0.02675,Algo1 w2,0.5700000000000001,0.004079695822886124
0.02696,Algo1 w2 prime,0.5700000000000001,0.004117244846902044
0.02531,Algo2 w1,0.5700000000000001,0.003856286001711901
0.02691,Algo2 w2,0.5700000000000001,0.004109097467596062
0.02696,Algo2 w2 prime,0.5700000000000001,0.004118292435492008
0.0208,Algo1 w1,0.58,0.003125
0.02606,Algo1 w2,0.58,0.004112504661363793
0.0263,Algo1 w2 prime,0.58,0.004152015634593625
0.02489,Algo2 w1,0.58,0.00387538263074904
0.02626,Algo2 w2,0.58,0.004143233981903434
0.02631,Algo2 w2 prime,0.58,0.004153126162935565
0.01967,Algo1 w1,0.59,0.003125
0.02545,Algo1 w2,0.59,0.004146650811030578
0.02568,Algo1 w2 prime,0.59,0.00418823443553855
0.02399,Algo2 w1,0.59,0.003894936734479235
0.02562,Algo2 w2,0.59,0.004178768015085382
0.02569,Algo2 w2 prime,0.59,0.004189411581284795
0.02025,Algo1 w1,0.6,0.003125
0.02601,Algo1 w2,0.6,0.004182214253867102
0.02623,Algo1 w2 prime,0.6,0.004225988986874044
0.02453,Algo2 w1,0.6,0.003914963005907654
0.02621,Algo2 w2,0.6,0.004215782878751352
0.02623,Algo2 w2 prime,0.6,0.004227236662245842
0.01961,Algo1 w1,0.61,0.003125
0.02553,Algo1 w2,0.61,0.004219281900083937
0.02584,Algo1 w2 prime,0.61,0.004265374674559324
0.02411,Algo2 w1,0.61,0.003935477000291039
0.02575,Algo2 w2,0.61,0.004254369073873606
0.02585,Algo2 w2 prime,0.61,0.004266697045207278
0.01927,Algo1 w1,0.62,0.003125
0.02508,Algo1 w2,0.62,0.0042579483812221364
0.02537,Algo1 w2 prime,0.62,0.004306495412902343
0.02378,Algo2 w1,0.62,0.003956495211856696
0.0253,Algo2 w2,0.62,0.004294625112880794
0.02539,Algo2 w2 prime,0.62,0.004307896918820938
0.01875,Algo1 w1,0.63,0.003125
0.02474,Algo1 w2,0.63,0.004298316957291378
0.02492,Algo1 w2 prime,0.63,0.004349464650692589
0.02302,Algo2 w1,0.63,0.003978035159567689
0.02489,Algo2 w2,0.63,0.004336658458707473
0.02492,Algo2 w2 prime,0.63,0.004350950029431656
0.01769,Algo1 w1,0.64,0.003125
0.02427,Algo1 w2,0.64,0.00434050055788126
0.02449,Algo1 w2 prime,0.64,0.004394406527779437
0.02263,Algo2 w1,0.64,0.004000115483278058
0.0244,Algo2 w2,0.64,0.004380586602517447
0.02449,Algo2 w2 prime,0.64,0.0043959808402861955
0.01831,Algo1 w1,0.65,0.003125
0.02485,Algo1 w2,0.65,0.004384622981328484
0.02515,Algo1 w2 prime,0.65,0.004441457204993386
0.02311,Algo2 w1,0.65,0.004022756051868992
0.0251,Algo2 w2,0.65,0.004426538304767028
0.02517,Algo2 w2 prime,0.65,0.004443125864458529
0.01755,Algo1 w1,0.66,0.003125
0.0241,Algo1 w2,0.66,0.004430820281156983
0.02439,Algo1 w2 prime,0.66,0.004490766405243418
0.02179,Algo2 w1,0.66,0.0040459780852474606
0.02432,Algo2 w2,0.66,0.004474655029768218
0.0244,Algo2 w2 prime,0.66,0.004492535209403644
0.01785,Algo1 w1,0.67,0.003125
0.02409,Algo1 w2,0.67,0.004479242375446606
0.02453,Algo1 w2 prime,0.67,0.0045424992017132374
0.02222,Algo2 w1,0.67,0.004069804292455527
0.02439,Algo2 w2,0.67,0.004525092610529394
0.02453,Algo2 w2 prime,0.67,0.004544374369134387
0.01716,Algo1 w1,0.68,0.003125
0.02405,Algo1 w2,0.68,0.00453005492286407
0.02438,Algo1 w2 prime,0.68,0.004596838103517027
0.02184,Algo2 w1,0.68,0.004094259028580209
0.02431,Algo2 w2,0.68,0.004578023188987904
0.02438,Algo2 w2 prime,0.68,0.004598826314484007
0.01709,Algo1 w1,0.6900000000000001,0.003125
0.0238,Algo1 w2,0.6900000000000001,0.004583441519311624
0.02411,Algo1 w2 prime,0.6900000000000001,0.0046539854988376355
0.02168,Algo2 w1,0.6900000000000001,0.0041193684736995015
0.02408,Algo2 w2,0.6900000000000001,0.0046336374872809165
0.02412,Algo2 w2 prime,0.6900000000000001,0.004656093941597001
0.01635,Algo1 w1,0.7000000000000001,0.003125
0.02374,Algo1 w2,0.7000000000000001,0.004639606282204172
0.02404,Algo1 w2 prime,0.7000000000000001,0.004714166564872165
0.02143,Algo2 w1,0.7000000000000001,0.0041451608377940695
0.02394,Algo2 w2,0.7000000000000001,0.004692147479116653
0.02405,Algo2 w2 prime,0.7000000000000001,0.004716402987764718
0.01647,Algo1 w1,0.71,0.003125
0.02389,Algo1 w2,0.71,0.0046987769060688606
0.02427,Algo1 w2 prime,0.71,0.004777632532369003
0.02132,Algo2 w1,0.71,0.004171666596388757
0.0241,Algo2 w2,0.71,0.004753789532679853
0.02428,Algo2 w2 prime,0.71,0.004780005304043786
0.01583,Algo1 w1,0.72,0.003125
0.02271,Algo1 w2,0.72,0.004761208294827115
0.02317,Algo1 w2 prime,0.72,0.004844664934108143
0.0205,Algo2 w1,0.72,0.004198918762783387
0.02302,Algo2 w2,0.72,0.004818828221400772
0.02317,Algo2 w2 prime,0.72,0.004847183112790021
0.01521,Algo1 w1,0.73,0.003125
0.02263,Algo1 w2,0.73,0.0048271869042928895
0.02304,Algo1 w2 prime,0.73,0.0049155803082102136
0.02016,Algo2 w1,0.73,0.004226953204087606
0.02294,Algo2 w2,0.73,0.004887560723977297
0.02306,Algo2 w2 prime,0.73,0.004918253718896893
0.01514,Algo1 w1,0.74,0.003125
0.02275,Algo1 w2,0.74,0.004897035965514208
0.02315,Algo1 w2 prime,0.74,0.004990736053184985
0.01986,Algo2 w1,0.74,0.004255809010027442
0.02304,Algo2 w2,0.74,0.004960322273366291
0.02316,Algo2 w2 prime,0.74,0.0049935753790367144
0.01558,Algo1 w1,0.75,0.003125
0.02324,Algo1 w2,0.75,0.004971121808822677
0.02364,Algo1 w2 prime,0.75,0.005070537479285862
0.02036,Algo2 w1,0.75,0.004285528925751104
0.02355,Algo2 w2,0.75,0.005037492671127024
0.02364,Algo2 w2 prime,0.75,0.005073554367018285
0.01469,Algo1 w1,0.76,0.003125
0.02277,Algo1 w2,0.76,0.005049861574424335
0.02314,Algo1 w2 prime,0.76,0.005155446409443903
0.0197,Algo2 w1,0.76,0.0043161598627853
0.02304,Algo2 w2,0.76,0.005119504267802735
0.02316,Algo2 w2 prime,0.76,0.005158653593341621
0.01415,Algo1 w1,0.77,0.003125
0.02221,Algo1 w2,0.77,0.005133732684960557
0.02268,Algo1 w2 prime,0.77,0.0052459917497852
0.01919,Algo2 w1,0.77,0.004347753506214157
0.02249,Algo2 w2,0.77,0.005206851693927391
0.0227,Algo2 w2 prime,0.77,0.005249403195232183
0.01295,Algo1 w1,0.78,0.003125
0.02145,Algo1 w2,0.78,0.005223284577891216
0.02201,Algo1 w2 prime,0.78,0.0053427825871762155
0.01801,Algo2 w1,0.78,0.004380367041203286
0.02183,Algo2 w2,0.78,0.005300103889792452
0.02202,Algo2 w2 prime,0.78,0.00534641377768689
0.01253,Algo1 w1,0.79,0.003125
0.02108,Algo1 w2,0.79,0.005319153366185646
0.02157,Algo1 w2 prime,0.79,0.005446524689384284
0.01738,Algo2 w1,0.79,0.004414064029046241
0.02143,Algo2 w2,0.79,0.005399919432558143
0.02159,Algo2 w2 prime,0.79,0.005450392350049477
0.01258,Algo1 w1,0.8,0.003125
0.02073,Algo1 w2,0.8,0.005422080334821794
0.02127,Algo1 w2 prime,0.8,0.005558040664908148
0.01716,Algo2 w1,0.8,0.004448915472114456
0.02104,Algo2 w2,0.8,0.005507065418363466
0.02128,Algo2 w2 prime,0.8,0.0055621637323036675
0.01199,Algo1 w1,0.81,0.003125
0.02083,Algo1 w2,0.81,0.0055329355234568995
0.02144,Algo1 w2 prime,0.81,0.005678297067766511
0.01704,Algo2 w1,0.81,0.004485001120363937
0.02124,Algo2 w2,0.81,0.005622441802581431
0.02145,Algo2 w2 prime,0.81,0.005682696493932236
0.01224,Algo1 w1,0.8200000000000001,0.003125
0.02124,Algo1 w2,0.8200000000000001,0.005652748139083181
0.02167,Algo1 w2 prime,0.8200000000000001,0.005808437905418421
0.01728,Algo2 w1,0.8200000000000001,0.004522411089310644
0.02148,Algo2 w2,0.8200000000000001,0.005747112714772987
0.0217,Algo2 w2 prime,0.8200000000000001,0.0058131371359658535
0.0122,Algo1 w1,0.8300000000000001,0.003125
0.02124,Algo1 w2,0.8300000000000001,0.005782746290818442
0.02183,Algo1 w2 prime,0.8300000000000001,0.005949829187566761
0.01726,Algo2 w1,0.8300000000000001,0.0045612478900370615
0.02155,Algo2 w2,0.8300000000000001,0.005882347342698087
0.02184,Algo2 w2 prime,0.8300000000000001,0.0059548545979634816
0.01129,Algo1 w1,0.84,0.003125
0.02095,Algo1 w2,0.84,0.005924409597863205
0.02149,Algo1 w2 prime,0.84,0.006104117786759454
0.0163,Algo2 w1,0.84,0.004601628995482988
0.02127,Algo2 w2,0.84,0.006029674059661127
0.0215,Algo2 w2 prime,0.84,0.006109499166985897
0.01114,Algo1 w1,0.85,0.003125
0.02032,Algo1 w2,0.85,0.006079539991186084
0.02088,Algo1 w2 prime,0.85,0.006273310585995202
